도서관명,도서명,저자,출판사,출판연도,데이터기준일
가양도서관,아기곰이 보내는 편지,문종훈,늘보의섬,2020,2022-03-31
가양도서관,"미래가 온다, 로봇",김성화,와이즈만Books,2019,2022-03-31
가양도서관,(아버지의 마을)오라니,"니볼라, 클레어 A.",이마주,2014,2022-03-31
가양도서관,"안네 프랑크와 마로니에 나무 : 그리고 안네의 성장 이야기, 『안네의 일기』","고츠펠드, 제프",두레아이들,2017,2022-03-31
가양도서관,어느 날 미란다에게 생긴 일,"스테드, 레베카",찰리북,2011,2022-03-31
가양도서관,어린 노동자와 희귀 금속 탄탈,"마르와, 앙드레",한울림어린이,2020,2022-03-31
가양도서관,(어린 산책자를 위한) 아름다운 동물 도감,"디아스, 마리아 아나 페이시",우리학교,2019,2022-03-31
가양도서관,(어린 산책자를 위한) 아름다운 자연 도감 = Outside : exploring nature,"디아스, 마리아 아나 페이시",우리학교,2019,2022-03-31
가양도서관,언더커버 로봇 : 인간 세상에서 살아남기,"에드먼즈, 데이비드",꿈터,2021,2022-03-31
가양도서관,엄마가 봄이었어요 : 나태주 창작 동시집,나태주,문학세계사,2020,2022-03-31
가양도서관,엄마라고 불러도 될까요?,"매클라클랜, 패트리샤",풀빛미디어,2014,2022-03-31
가양도서관,연필 도둑 한명필,송재환,천개의바람,2021,2022-03-31
가양도서관,시험지 괴물,이기규,휴먼어린이,2020,2022-03-31
가양도서관,"미래가 온다, 나노봇",김성화,와이즈만Books,2019,2022-03-31
가양도서관,서프러제트 : 세상을 바꾼 여성 참정권 운동가들,"로버츠, 데이비드",대교북스주니어,2021,2022-03-31
가양도서관,"미래가 온다, 뇌과학",김성화,와이즈만Books,2019,2022-03-31
가양도서관,쓰레기에 관한 쓸데 있는 이야기,"라이블, 멜라니",씨드북,2020,2022-03-31
가양도서관,아찔아찔 높이 솟은 집,"베일리, 게리",개암나무,2017,2022-03-31
가양도서관,역사로 보는 음식의 세계 : 떡볶이는 언제부터 먹었을까?,이은정,크레용하우스,2020,2022-03-31
가양도서관,오염물이 터졌다!,송수혜,미세기,2020,2022-03-31
가양도서관,태어납니다 사라집니다,유미희,초록개구리,2020,2022-03-31
가양도서관,파릇파릇 녹색의 집,"테일러, 서랜느",개암나무,2018,2022-03-31
가양도서관,(아홉살에 처음 만나는)오케스트라,이종운,하늘을나는코끼리,2019,2022-03-31
가양도서관,(어린이를 위한)오페라 수업 100,곽현규,이케이북,2018,2022-03-31
가양도서관,힙하게 힙합,"모스, 에릭",풀빛,2019,2022-03-31
가양도서관,선생님을 팝니다,"산토스, 카레",베틀북,2020,2022-03-31
가양도서관,"미래가 온다, 게놈",김성화,와이즈만Books,2020,2022-03-31
가양도서관,"(바람의 왕,)고돌핀 아라비안","헨리, 마거리트",느림보,2010,2022-03-31
가양도서관,(비밀의 숲)테라비시아,"패터슨, 캐서린",사파리,2012,2022-03-31
가양도서관,(생쥐 기사)데스페로 : 생쥐와 공주와 수프와 빨간 실패 이야기,"디카밀로, 케이트",비룡소,2021,2022-03-31
가양도서관,13일의 단톡방,방미진,상상의집,2020,2022-03-31
가양도서관,(책상 위의 비밀 친구) AI 명심보감,인정림,휴먼어린이,2020,2022-03-31
가양도서관,가만히 기울이면,"로링 피셔, 조",불광,2021,2022-03-31
가양도서관,서툴러도 괜찮아,"쿠시맨, 카렌",다른,2011,2022-03-31
가양도서관,그레이 킹,"쿠퍼, 수잔",문학과지성사,2012,2022-03-31
가양도서관,그냥 아무것도 하기 싫은데 어떡해요?,제성은,팜파스,2021,2022-03-31
가양도서관,바퀴의 역사가 궁굼해! : 멋진 자동차를 좋아하는 우리 아이,글터 반딧불,꼬마이실,2017,2022-03-31
가양도서관,붉은 땅의 기억 : 한 소년이 겪은 중국 문화대혁명,장안거,문학동네,2010,2022-03-31
가양도서관,아마존강 : 지구를 살아 숨 쉬게 하는 강,"프랜시스, 상마",찰리북,2021,2022-03-31
가양도서관,헤디 라마 : 와이파이 기술을 발명한 영화배우,"월마크, 로리",두레아이들,2020,2022-03-31
가양도서관,"아무 질문이나 괜찮아, 답은 항상 찾을 수 있어","비타치, 누리",니케주니어,2020,2022-03-31
가양도서관,"미래가 온다, 인공 생태계",김성화,와이즈만Books,2020,2022-03-31
가양도서관,커럼포의 왕 로보 : 세상을 바꾼 한 마리 늑대 이야기,"그릴, 윌리엄",찰리북,2017,2022-03-31
가양도서관,마스크 벗어도 돼? : 바이러스의 비밀,교육을 위한 여성 과학자,그레이트Books,2020,2022-03-31
가양도서관,방귀 뀌어도 돼?,"톨로사 시스테레, 마리오나",그레이트Books,2021,2022-03-31
가양도서관,상처 딱지 떼도 돼?,"시스테레, 마리오나 톨로사",그레이트Books,2020,2022-03-31
가양도서관,어서 와! 장풍아 : 우리 집 생태 학교 장수풍뎅이,미소노,책읽는곰,2021,2022-03-31
가양도서관,"다빈치 대 잡스 : 세상을 바꾼 20명의 인물, 일대일로 만나다","코르나바스, 바티스트",노란돼지,2020,2022-03-31
가양도서관,"천해 개의 별, 단 하나의 나","피시만, 세스",다섯수레,2020,2022-03-31
가양도서관,깊이 생각하는 개구리,이와무라 카즈오,진선아이,2021,2022-03-31
가양도서관,우리는 패배하지 않아,"알렉산더, 콰미",보물창고,2020,2022-03-31
가양도서관,다람쥐의 구름 : 조승혜 그림책,조승혜,북극곰,2020,2022-03-31
가양도서관,고구마유,사이다,반달,2021,2022-03-31
가양도서관,느낌표,"로젠탈, 에이미 크루즈",천개의바람,2021,2022-03-31
가양도서관,눈을 감고 느끼는 색깔여행,"코틴, 메네다",고래이야기,2020,2022-03-31
가양도서관,눈아이 : 안녕달 그림책,안녕달,창비,2021,2022-03-31
가양도서관,눈 내린 날,사카이 고마코,북뱅크,2021,2022-03-31
가양도서관,누렁이랑 야옹이,"매카티, 피터",담푸스,2015,2022-03-31
가양도서관,누가 사자의 방에 들어왔지?,"파를랑주, 아드리앵",봄볕,2021,2022-03-31
가양도서관,꼬마 곰,"미나릭, 엘세 홀메룬",시공주니어,2018,2022-03-31
가양도서관,나는 나는 나는,김혜란,향,2021,2022-03-31
가양도서관,노란 별 : 평화와 평등을 실천한 덴마크 왕의 이야기,"디디, 카르멘 애그라",해와나무,2017,2022-03-31
가양도서관,네가 울 때에,홍순미,봄봄,2020,2022-03-31
가양도서관,네 심장에 행복이 살고 있어,"프리들, 라인하르트",여유당,2021,2022-03-31
가양도서관,내 팬티 어딨어? : 보드북,조은수,풀빛,2021,2022-03-31
가양도서관,내 모자 어디 갔을까?,"클라센, 존",시공주니어,2012,2022-03-31
가양도서관,내 꼬리 봤니?,"로트, 알베르토",상수리,2021,2022-03-31
가양도서관,마음이 아플까봐,"제퍼스, 올리버",아름다운사람들,2010,2022-03-31
가양도서관,마음안경점,조시온,씨드북,2021,2022-03-31
